Variable,ImportanciaMedia
CantAprobados,0.051346252367661514
CantMaterias,0.05104586039153354
PromedioNota,0.04237746434746409
CantFinalesRendidos,0.04101752764780632
Edad,0.026117417304527896
TasaAprobacion,0.025159033007169727
CantExamenesRendidos,0.021247932776260758
CantAniosCursados,0.019183397443827212
PromedioAsistencia,0.0057365513784822745
PromedioColegio,0.005322243936951422
Genero,0.0013897811225762585
ColegioTecnico,0.0011044199896099503
AyudaFinanciera,0.0008503430742119843
CantAusencias,0.0
TasaAusencia,0.0
