Variable,ImportanciaMedia
VecesRecursada,0.8685606
PromedioNotaGeneral,0.08415283
AniosDesdeIngreso,0.07399625
VecesRendidaExamenMateria,0.038515985
TasaAprobacionMateria,0.033433553
NotaPromedioPrevias,0.019489992
TasaAprobacionGeneral,0.012847064
DelayRespectoPlan,0.012790411
PromedioNotaMateria,0.011643282
AnioCursada,0.010817375
PromedioColegio,0.002916226
Asistencia,0.0020568576
AyudaFinanciera,0.0019683256
MateriasRecursadasTotal,0.0018692028
Materia,0.0017239036
Edad,0.0009922504
Cuatrimestre,0.00088819064
Tipo_C,0.0
IndiceBloqueo,0.0
VecesAusenteMateria,0.0
Genero,0.0
EsMateriaBottleneck,0.0
AñoCarrera,0.0
ColegioTecnico,0.0
Tipo_A,0.0
